id	method	learner	embed	optimp	dataset	binary	languages	time	lang	macrof1	microf1	macrok	microk	notes
rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.picklePolyEmbedd_andrea_None_optimC	PolyEmbed_andrea	svm	None	True	rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.pickle	not_binary	not_ablation	161.99278807640076	it	0.5367684112761455	0.7945344129554656	0.5179685773363333	0.7651326488894972	nope
rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.picklePolyEmbedd_andrea_None_optimC	PolyEmbed_andrea	svm	None	True	rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.pickle	not_binary	not_ablation	161.99278807640076	pt	0.6969974938193201	0.878625134264232	0.6967392557377021	0.8466030321042095	nope
rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.picklePolyEmbedd_andrea_None_optimC	PolyEmbed_andrea	svm	None	True	rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.pickle	not_binary	not_ablation	161.99278807640076	sv	0.502213941379271	0.7700107543401444	0.4991078326315248	0.7207899075774371	nope
rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.picklePolyEmbedd_andrea_None_optimC	PolyEmbed_andrea	svm	None	True	rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.pickle	not_binary	not_ablation	161.99278807640076	es	0.5817849682843411	0.8448214916931778	0.5849433134898768	0.8202407220651875	nope
rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.picklePolyEmbedd_andrea_None_optimC	PolyEmbed_andrea	svm	None	True	rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.pickle	not_binary	not_ablation	161.99278807640076	en	0.5284100314545743	0.7625649913344887	0.4968119038332687	0.7152142337789349	nope
rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.picklePolyEmbedd_andrea_None_optimC	PolyEmbed_andrea	svm	None	True	rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.pickle	not_binary	not_ablation	161.99278807640076	da	0.4868904596668941	0.7971705872676427	0.4554442856126113	0.741227149968307	nope
rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.picklePolyEmbedd_andrea_None_optimC	PolyEmbed_andrea	svm	None	True	rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.pickle	not_binary	not_ablation	161.99278807640076	nl	0.5470546398570723	0.8276762402088773	0.5177281560038681	0.7850292121533595	nope
rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.picklePolyEmbedd_andrea_None_optimC	PolyEmbed_andrea	svm	None	True	rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.pickle	not_binary	not_ablation	161.99278807640076	fr	0.4997574965766772	0.7678434382194935	0.4836027981945328	0.7099957841328215	nope
rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.picklePolyEmbedd_andrea_None_optimC	PolyEmbed_andrea	svm	None	True	rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.pickle	not_binary	not_ablation	161.99278807640076	de	0.4220457399934653	0.7444316119452236	0.4256936056238835	0.7167749374918141	nope
rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.picklePolyEmbedd_andrea_M_optimC	PolyEmbed_andrea	svm	M	True	rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.pickle	not_binary	not_ablation	503.81587314605713	it	0.5398437760931379	0.8008933172994331	0.5146465197929204	0.7584451610463148	nope
rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.picklePolyEmbedd_andrea_M_optimC	PolyEmbed_andrea	svm	M	True	rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.pickle	not_binary	not_ablation	503.81587314605713	pt	0.6975279233747671	0.8779959377115775	0.6911573032014029	0.8392738059784555	nope
rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.picklePolyEmbedd_andrea_M_optimC	PolyEmbed_andrea	svm	M	True	rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.pickle	not_binary	not_ablation	503.81587314605713	sv	0.5179339368901748	0.7752035065748278	0.4962165022301373	0.7133720895906155	nope
rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.picklePolyEmbedd_andrea_M_optimC	PolyEmbed_andrea	svm	M	True	rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.pickle	not_binary	not_ablation	503.81587314605713	es	0.5745246656272296	0.8476464247215235	0.5736797442258523	0.8104027280076678	nope
rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.picklePolyEmbedd_andrea_M_optimC	PolyEmbed_andrea	svm	M	True	rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.pickle	not_binary	not_ablation	503.81587314605713	en	0.5265892627601801	0.761854398025736	0.4868823643967914	0.7032312369952987	nope
rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.picklePolyEmbedd_andrea_M_optimC	PolyEmbed_andrea	svm	M	True	rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.pickle	not_binary	not_ablation	503.81587314605713	da	0.4857267508065667	0.7955911823647295	0.449682467737542	0.7293013090493592	nope
rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.picklePolyEmbedd_andrea_M_optimC	PolyEmbed_andrea	svm	M	True	rcv1-2_doclist_trByLang1000_teByLang1000_processed_run0.pickle	not_binary	not_ablation	503.81587314605713	nl	0.5461000743929812	0.8304711580801409	0.5139887576564601	0.7790659402231745	nope
